tournament,court,surface,round_imp,best_of,player0,player1,rank0,rank1,winner
"Australian Open",Outdoor,Hard,6,5,"Koubek S.","Stafford G.",43,472,0
"Australian Open",Outdoor,Hard,6,5,"Mirnyi M.","Dupuis A.",67,98,0
"Australian Open",Outdoor,Hard,6,5,"Norman M.","Pozzi G.",11,82,0
"Australian Open",Outdoor,Hard,6,5,"Philippoussis M.","Sluiter R.",19,166,0
"Australian Open",Outdoor,Hard,6,5,"Rochus C.","Ullyett K.",120,182,0
"Australian Open",Outdoor,Hard,6,5,"Sampras P.","Tillstrom M.",3,79,0
"Australian Open",Outdoor,Hard,6,5,"Squillari F.","Woodforde M.",48,126,0
"Australian Open",Outdoor,Hard,6,5,"Vicente F.","Martin T.",55,9,0
"Australian Open",Outdoor,Hard,6,5,"Vinciguerra A.","Paes L.",99,137,0
"Australian Open",Outdoor,Hard,6,5,"Voinea A.","Portas A.",95,91,0
"Australian Open",Outdoor,Hard,6,5,"Woodruff C.","Sekulov J.",56,133,0
"Australian Open",Outdoor,Hard,6,5,"Zabaleta M.","Woodbridge T.",33,204,0
"Australian Open",Outdoor,Hard,5,5,"Agassi A.","Zabaleta M.",1,33,0
"Australian Open",Outdoor,Hard,5,5,"Arazi H.","Vicente F.",41,55,0
"Australian Open",Outdoor,Hard,5,5,"Clement A.","Federer R.",54,62,0
"Australian Open",Outdoor,Hard,5,5,"Dosedel S.","Squillari F.",64,48,0
"Australian Open",Outdoor,Hard,5,5,"El Aynaoui Y.","Ferrero J.C.",29,40,0
"Australian Open",Outdoor,Hard,5,5,"Escude N.","Vinciguerra A.",34,99,0
"Australian Open",Outdoor,Hard,5,5,"Ferreira W.","Clavet F.",53,39,0
"Australian Open",Outdoor,Hard,5,5,"Henman T.","Grosjean S.",13,26,0
"Australian Open",Outdoor,Hard,5,5,"Hewitt L.","Voinea A.",17,95,0
"Australian Open",Outdoor,Hard,5,5,"Kafelnikov Y.","Koubek S.",2,43,0
"Australian Open",Outdoor,Hard,5,5,"Kiefer N.","Alami K.",4,35,0
"Australian Open",Outdoor,Hard,5,5,"Norman M.","Bjorkman J.",11,76,0
"Australian Open",Outdoor,Hard,5,5,"Philippoussis M.","Ilie A.",19,46,0
"Australian Open",Outdoor,Hard,5,5,"Rochus C.","Mirnyi M.",120,67,0
"Australian Open",Outdoor,Hard,5,5,"Sampras P.","Black W.",3,151,0
"Australian Open",Outdoor,Hard,5,5,"Woodruff C.","Fromberg R.",56,80,0
"Australian Open",Outdoor,Hard,4,5,"Agassi A.","Philippoussis M.",1,19,0
"Australian Open",Outdoor,Hard,4,5,"Arazi H.","Escude N.",41,34,0
"Australian Open",Outdoor,Hard,4,5,"El Aynaoui Y.","Clement A.",29,54,0
"Australian Open",Outdoor,Hard,4,5,"Kafelnikov Y.","Rochus C.",2,120,0
"Australian Open",Outdoor,Hard,4,5,"Kiefer N.","Ferreira W.",4,53,0
"Australian Open",Outdoor,Hard,4,5,"Norman M.","Hewitt L.",11,17,0
"Australian Open",Outdoor,Hard,4,5,"Sampras P.","Dosedel S.",3,64,0
"Australian Open",Outdoor,Hard,4,5,"Woodruff C.","Henman T.",56,13,0
"Australian Open",Outdoor,Hard,3,5,"Agassi A.","Arazi H.",1,41,0
"Australian Open",Outdoor,Hard,3,5,"Kafelnikov Y.","El Aynaoui Y.",2,29,0
"Australian Open",Outdoor,Hard,3,5,"Norman M.","Kiefer N.",11,4,0
"Australian Open",Outdoor,Hard,3,5,"Sampras P.","Woodruff C.",3,56,0
"Australian Open",Outdoor,Hard,2,5,"Agassi A.","Sampras P.",1,3,0
"Australian Open",Outdoor,Hard,2,5,"Kafelnikov Y.","Norman M.",2,11,0
"Australian Open",Outdoor,Hard,1,5,"Agassi A.","Kafelnikov Y.",1,2,0
"Dubai Open",Outdoor,Hard,7,3,"Alami K.","Norman M.",34,6,0
"Dubai Open",Outdoor,Hard,7,3,"Arazi H.","Schuettler R.",27,57,0
"Dubai Open",Outdoor,Hard,7,3,"Black W.","Vacek D.",153,45,0
"Dubai Open",Outdoor,Hard,7,3,"Blanco G.","Schalken S.",78,49,0
"Dubai Open",Outdoor,Hard,7,3,"Costa A.","Berasategui A.",18,59,0
"Dubai Open",Outdoor,Hard,7,3,"El Aynaoui Y.","Ilie A.",21,50,0
"Dubai Open",Outdoor,Hard,7,3,"Ferrero J.C.","Damm M.",39,108,0
"Dubai Open",Outdoor,Hard,7,3,"Golmard J.","Clavet F.",33,37,0
"Dubai Open",Outdoor,Hard,7,3,"Kiefer N.","Burgsmuller L.",4,160,0
"Dubai Open",Outdoor,Hard,7,3,"Koubek S.","Marin J.A.",40,72,0
"Dubai Open",Outdoor,Hard,7,3,"Lapentti N.","Gross O.",9,173,0
"Dubai Open",Outdoor,Hard,7,3,"Mantilla F.","Black B.",25,70,0
"Dubai Open",Outdoor,Hard,7,3,"Martin A.","Tarango J.",52,76,0
"Dubai Open",Outdoor,Hard,7,3,"Novak J.","Alvarez E.",43,141,0
"Dubai Open",Outdoor,Hard,7,3,"Pavel A.","Prinosil D.",61,68,0
"Dubai Open",Outdoor,Hard,7,3,"Vicente F.","Paes L.",47,140,0
"Dubai Open",Outdoor,Hard,6,3,"Alami K.","Vicente F.",34,47,0
"Dubai Open",Outdoor,Hard,6,3,"Costa A.","Koubek S.",18,40,0
"Dubai Open",Outdoor,Hard,6,3,"El Aynaoui Y.","Blanco G.",21,78,0
"Dubai Open",Outdoor,Hard,6,3,"Ferrero J.C.","Lapentti N.",39,9,0
"Dubai Open",Outdoor,Hard,6,3,"Golmard J.","Pavel A.",33,61,0
"Dubai Open",Outdoor,Hard,6,3,"Kiefer N.","Martin A.",4,52,0
"Dubai Open",Outdoor,Hard,6,3,"Mantilla F.","Black W.",25,153,0
"Dubai Open",Outdoor,Hard,6,3,"Novak J.","Arazi H.",43,27,0
"Dubai Open",Outdoor,Hard,3,3,"Alami K.","Novak J.",34,43,0
"Dubai Open",Outdoor,Hard,3,3,"Costa A.","El Aynaoui Y.",18,21,0
"Dubai Open",Outdoor,Hard,3,3,"Ferrero J.C.","Mantilla F.",39,25,0
"Dubai Open",Outdoor,Hard,3,3,"Kiefer N.","Golmard J.",4,33,0
"Dubai Open",Outdoor,Hard,2,3,"Ferrero J.C.","Alami K.",39,34,0
