court,round,best_of,player0,player1,winner
Outdoor,7,3,22,144,player0
Outdoor,7,3,9,25,player0
Outdoor,7,3,12,43,player0
Outdoor,7,3,21,16,player0
Outdoor,7,3,70,83,player0
Outdoor,7,3,55,57,player0
Outdoor,7,3,3,27,player0
Outdoor,7,3,6,102,player0
Outdoor,7,3,8,65,player0
Outdoor,7,3,68,229,player0
Outdoor,7,3,5,37,player0
Outdoor,7,3,35,47,player0
Outdoor,7,3,15,157,player0
Outdoor,7,3,7,44,player0
Outdoor,7,3,18,228,player0
Outdoor,7,3,31,29,player0
Outdoor,7,3,2,32,player0
Outdoor,7,3,33,4,player0
Outdoor,7,3,64,120,player0
Outdoor,7,3,28,39,player0
Outdoor,6,3,34,51,player0
Outdoor,6,3,62,12,player0
Outdoor,6,3,26,15,player0
Outdoor,6,3,13,70,player0
Outdoor,6,3,10,55,player0
Outdoor,6,3,30,31,player0
Outdoor,6,3,19,9,player0
Outdoor,6,3,22,6,player0
Outdoor,6,3,8,53,player0
Outdoor,6,3,68,18,player0
Outdoor,6,3,5,40,player0
Outdoor,6,3,35,42,player0
Outdoor,6,3,2,46,player0
Outdoor,6,3,33,21,player0
Outdoor,6,3,64,3,player0
Outdoor,6,3,28,7,player0
Outdoor,5,3,34,68,player0
Outdoor,5,3,26,33,player0
Outdoor,5,3,10,28,player0
Outdoor,5,3,8,30,player0
Outdoor,5,3,5,19,player0
Outdoor,5,3,35,22,player0
Outdoor,5,3,2,62,player0
Outdoor,5,3,64,13,player0
Outdoor,3,3,26,5,player0
Outdoor,3,3,10,2,player0
Outdoor,3,3,8,34,player0
Outdoor,3,3,35,64,player0
Outdoor,2,3,26,8,player0
Outdoor,2,3,10,35,player0
Outdoor,1,5,26,10,player0
Outdoor,7,3,111,38,player0
Outdoor,7,3,81,153,player0
Outdoor,7,3,54,59,player0
Outdoor,7,3,152,65,player0
Outdoor,7,3,124,46,player0
Outdoor,7,3,70,74,player0
Outdoor,7,3,37,73,player0
Outdoor,7,3,61,47,player0
Outdoor,7,3,60,473,player0
Outdoor,7,3,53,99,player0
Outdoor,7,3,44,85,player0
Outdoor,7,3,?,76,player0
Outdoor,7,3,63,75,player0
Outdoor,7,3,86,50,player0
Outdoor,7,3,57,71,player0
Outdoor,7,3,82,98,player0
Outdoor,7,3,48,45,player0
Outdoor,7,3,69,94,player0
Outdoor,7,3,136,93,player0
Outdoor,7,3,167,36,player0
Outdoor,7,3,97,52,player0
Outdoor,7,3,35,77,player0
Outdoor,7,3,58,68,player0
Outdoor,7,3,43,142,player0
Outdoor,7,3,42,64,player0
Outdoor,7,3,67,56,player0
Outdoor,7,3,83,66,player0
Outdoor,7,3,87,40,player0
Outdoor,7,3,989,41,player0
Outdoor,7,3,140,55,player0
Outdoor,7,3,49,84,player0
Outdoor,7,3,62,39,player0
Outdoor,6,3,1,989,player0
Outdoor,6,3,81,27,player0
Outdoor,6,3,54,17,player0
Outdoor,6,3,7,60,player0
Outdoor,6,3,28,111,player0
Outdoor,6,3,44,31,player0
Outdoor,6,3,63,4,player0
Outdoor,6,3,86,29,player0
Outdoor,6,3,20,49,player0
Outdoor,6,3,21,?,player0
